video_id,title,duration,view_count,upload_date,has_subtitles,subtitle
EREAIjCnfkQ,????????????????????????????????? :: ??????????????? ???????? 25 ?.?. 2567,2660,64510,,Yes,th
VkAeYmo0ONo,???????????????????? :: ??????????????? ???????? 27 ?.?. 2567,3666,32525,,Yes,th
zFR4DgpDwNU,???????????????????? :: ??????????????? ???????? 23 ?.?. 2567,882,13550,,Yes,th
_URJUy-noOQ,Stop Procrastinating :: Luangpu Pramote Pamojjo 8 Jul 2023,3736,1548,,Yes,"en-GB,th"
AZFL12BmJTc,????????????????? :: ??????????????? ???????? 18 ?.?. 2567,1909,29743,,Yes,th
7XKbbUyV2bM,???????????????? :: ??????????????? ???????? 14 ?.?. 2567,1623,33204,,Yes,th
MWnuJ2P7hQg,19/10/2024 ??????????????????????  (How can one escape suffering),4121,71577,,Yes,"en,th"
vsWerlxUyMc,??????????????????????????????? :: ??????????????? ???????? 5 ?.?. 2567,141,2636,,Yes,"lo,th,th"
sYbl4oSrMbA,Understanding Dependent Origination :: Luangpu Pramote Pamojjo 26 Mar 2022,3874,2251,,Yes,"en-GB,th"
Y4qoMSkORXE,?????????? :: ??????????????? ???????? 6 ?.?. 2567,111,2455,,Yes,"lo,th,th"
U3MUKAJZXKk,??????????????????????? :: ??????????????? ???????? 6 ?.?. 2567,123,3015,,Yes,"th,th"
YUQ9hEs__bo,?????????????? :: ??????????????? ???????? 5 ?.?. 2567,97,4328,,Yes,"lo,th,th"
_d3TRmHi8kw,?????????????????? :: ??????????????? ???????? 22 ?.?. 2567,162,2228,,Yes,th
esSvsQW3ggU,????????????????? :: ??????????????? ???????? 5 ?.?. 2567,216,4423,,Yes,"lo,th,th"
eopFDv-zxjQ,???????????????? :: ??????????????? ???????? 17 ?.?. 2567,81,3117,,Yes,th
Qrj99D2LxJ0,?????????????? :: ??????????????? ???????? 28 ?.?. 2567,68,2704,,Yes,"th,th"
XvxqD4IIAbk,??????????????? :: ??????????????? ???????? 15 ?.?. 2567,116,2496,,Yes,th
JsdTzThAJg4,????????????????????????????? :: ??????????????? ???????? 29 ?.?. 2567,142,3300,,Yes,"th,th"
nEjmUJ0Bwu8,??????????? :: ??????????????? ???????? 29 ?.?. 2567,87,2435,,Yes,"th,th"
VUqPZE92PQ4,?????????????????????????????? :: ??????????????? ???????? 1 ?.?. 2567,160,1462,,Yes,th
n_OMfAY8Vyw,?????????????????????? :: ??????????????? ???????? 28 ?.?. 2567,128,3695,,Yes,"th,th"
WY9VFba7DZc,???????????????????????????? :: ??????????????? ???????? 22 ?.?. 2567,62,1868,,Yes,"th,th"
89xbW452ddw,?????????????????????????????? :: ??????????????? ???????? 22 ?.?. 2567,150,3085,,Yes,"th,th"
SwL-3MHEP9w,??????????????????? :: ??????????????? ???????? 22 ?.?. 2567,163,2796,,Yes,"th,th"
3OxJgbOGrno,?????????????????????????? :: ??????????????? ???????? 29 ?.?. 2567,4083,41071,,Yes,"th,th"
CzqjGbAnNN8,?????????????? :: ??????????????? ???????? 21 ?.?. 2567,113,2952,,Yes,"th,th"
k5g0egK7pvM,???????????????????? :: ??????????????? ???????? 21 ?.?. 2567,164,2330,,Yes,"th,th"
Av9MCRjBGMQ,Collect the right views :: Luangpu Pramote Pamojjo 2 October 2022,3827,1381,,Yes,"en-GB,th,en"
DtdMplPq5p8,?????????????????????? :: ??????????????? ???????? 15 ?.?. 2567,147,2625,,Yes,"lo,th,th"
a20GUx-vmP0,??????????????? :: ????????????? ???????? 8 ?.?. 2567,4732,11188,,Yes,th
y2T7eiWVXtQ,????????????????????????? :: ??????????????? ???????? 15 ?.?. 2567,113,2571,,Yes,"lo,th,th"
0PFK5NGsI9M,???????????? :: ?????????? ??????? (?????????) 1 ?.?. 2567,2724,4562,,Yes,"th,th"
5p1zELIMIsU,?????????????????????????? :: ??????????????? ???????? 14 ?.?. 2567,244,4062,,Yes,"lo,th,th"
07lJ6XT5L48,????????????????????? :: ??????????????? ???????? 25 ?.?. 2567,135,3381,,Yes,th
PaOxTzulGhk,?????????????????????????????? :: ??????????????? ???????? 14 ?.?. 2567,173,3928,,Yes,"lo,th,th"
GtNwwLj3zXc,????????????????????? :: ??????????????? ???????? 22 ?.?. 2567,3865,71483,,Yes,"th,th"
0bJ4fHHRHLg,Ordination of the mind :: Luangpu Pramote Pamojjo 8 May 2022,3492,1534,,Yes,"en-GB,th,en"
x-jKuLD1DIQ,??????????????????????????????????? :: ??????????????? ???????? 8 ?.?. 2567,88,3121,,Yes,"lo,th,th"
pka-qLJRsZo,???????? :: ?????????? ??????? (?????????) 13 ?.?. 2567,2474,5809,,Yes,"th,th"
lr1V6NbN32c,?????????????? :: ??????????????? ???????? 8 ?.?. 2567,150,3395,,Yes,"lo,th,th"
6Eq_9WU6G9w,??? 2 ?????????????????????? :: ??????????????? ???????? 7 ?.?. 2567,138,3495,,Yes,"lo,th,th"
dEk1yxn-3vg,????????????????????????????? :: ????????????? ???????? 27 ?.?. 2567,5292,11108,,Yes,th
BGtUYFEIx_8,14/09/2024 ???????????????? (Observe your proficient objects of meditation),3853,29679,,Yes,"en,th"
FeWap2GhejI,????????????????????????? :: ??????????????? ???????? 7 ?.?. 2567,153,2456,,Yes,"lo,th,th"
G2QPEiiajO8,????? 2 ???? :: ??????????????? ???????? 10 ?.?. 2567,3346,51872,,Yes,"th,th"
jIAviqCvrZ4,?????????????????????????? :: ??????????????? ???????? 24 ?.?. 2567,157,2457,,Yes,"th,th"
oqQs_sN5Vkc,??????????????????????????????? :: ??????????????? ???????? 1 ?.?. 2567,178,3245,,Yes,"lo,th,th"
pNU6kLI6reQ,??????????????????? :: ??????????????? ???????? 1 ?.?. 2567,122,2913,,Yes,th
dl58HuateLM,??????????????????????????????? :: ??????????????? ???????? 31 ?.?. 2567,129,2618,,Yes,"lo,th,th"
_JXk1kpDJ5E,????????????? :: ??????????????? ???????? 25 ?.?. 2567,94,3096,,Yes,th
H5wiJ54oElw,???????????????????????? :: ??????????????? ?????????? (?????????????) 19 ?.?. 2567,3499,9232,,Yes,"th,th"
hXjCjD7aQvY,???????????????????? :: ??????????????? ???????? 31 ?.?. 2567,152,2430,,Yes,"th,th"
FY0qsKzthXo,????????????????????????????????? :: ??????????????? ???????? 7 ?.?. 2567,3595,69256,,Yes,"th,th"
rVE873UMT2c,????????????????????? :: ??????????????? ???????? 25 ?.?. 2567,110,3677,,Yes,"lo,th,th"
6IeJWRE1cDM,????????????????????????? :: ??????????????? ???????? 22 ??.?. 2567,135,2516,,Yes,th
83OYFVNQ554,?????????? 4 :: ??????????????? ???????? 25 ?.?. 2567,131,3462,,Yes,"lo,th,th"
_Exbo5Y1QAM,???????????????????????? :: ??????????????? ???????? 4 ?.?. 2566,93,2240,,Yes,th
R0VmO2fierE,01/09/2024 ???????????????????????? (Free from Suffering Through Knowing the Truth),3703,232581,,Yes,"en,th"
FdS8TukyEWo,???????????????????? :: ??????????????? ???????? 24 ?.?. 2567,142,3758,,Yes,"lo,th,th"
LFVH9CjQ7a0,?????????????? :: ??????????????? ???????? 24 ?.?. 2567,114,2779,,Yes,"lo,th,th"
7GueOakYaLE,?????????????????????? :: ??????????????? ???????? 31 ?.?. 2567,3855,116892,,Yes,"th,th"
TT4lfUVVW28,???????????????????????????? :: ??????????????? ???????? 28 ?.?. 2567,1713,36832,,Yes,"th,th"
#NAME?,Practice until it becomes automatic :: Luangpu Pramote Pamojjo 20 May 2023,4259,3378,,Yes,"en-GB,th"
UvmlPZBimCg,????????? :: ??????????????? ???????? 18 ?.?. 2567,99,2516,,Yes,"lo,th,th"
Sy8Qbffiil0,?????????????????????????????? :: ??????????????? ???????? 18 ?.?. 2567,157,2328,,Yes,"lo,th"
HdRvR3m31gc,????????????????? :: ?????????? ??????? (?????????) 26 ?.?. 2567,1699,5146,,Yes,th
lVRl0uyMZ1I,??????????????????????? :: ??????????????? ???????? 17 ?.?. 2567,140,4081,,Yes,"th,th"
7XLEtyJ9h6k,?????????????????????? :: ??????????????? ???????? 17 ?.?. 2567,161,3385,,Yes,"th,th"
B4ZpEWo5wTo,???????????????????????????? :: ??????????????? ???????? 11 ?.?. 2567,90,2908,,Yes,"lo,th,th"
2zNPk3VU0W8,??????????????????????? :: ??????????????? ?????????? (?????????????) 25 ?.?. 2567,3565,7184,,Yes,th
hrC2LtJ267E,?????????????????????? :: ??????????????? ???????? 11 ?.?. 2567,189,2506,,Yes,"lo,th,th"
QHwIRPuhc-o,????????????????????????? :: ??????????????? ???????? 12 ?.?. 2567,1601,65316,,Yes,"th,th"
OzMoZBEJB5Q,????????????????????? :: ??????????????? ???????? 10 ?.?. 2567,175,4855,,Yes,"lo,th,th"
vxdUc6WDo14,???????????????????? :: ??????????????? ???????? 10 ?.?. 2567,105,3429,,Yes,"lo,th,th"
LrejoJg84I4,???????????????????????? :: ??????????????? ???????? 4 ?.?. 2567,203,2819,,Yes,"th,th"
-7IOkImOOcE,???????????????????????? :: ??????????????? ???????? 10 ?.?. 2567,3912,55361,,Yes,"th,th"
_lRtDaS_n_o,???????????????????? :: ??????????????? ???????? 4 ?.?. 2567,158,2532,,Yes,"th,th"
qLV0whuA_k8,????????? :: ??????????????? ???????? 21 ?.?. 2567,241,1942,,Yes,th
nLqPghNUxG4,??????? ????????? ?????????? :: ??????????????? ???????? 3 ?.?. 2567,153,3333,,Yes,"th,th"
Hv-lehWLybY,???????????????? :: ??????????????? ???????? 3 ?.?. 2567,184,3658,,Yes,"lo,th,th"
1m0iMZjaWgI,????????????? :: ??????????????? ???????? 20 ?.?. 2567 (????????),114,3375,,Yes,th
zy9EEnCg3No,?????????????? :: ??????????????? ???????? 28 ?.?. 2567,148,2457,,Yes,"lo,th,th"
l3VV0VwIuv4,????????????????????????? :: ??????????????? ???????? 28 ?.?. 2567,120,2650,,Yes,"lo,th,th"
qqdZjIiLKnU,??????????????????????????????? :: ??????????????? ???????? 27 ?.?. 2567,74,1946,,Yes,"lo,th,th"
7oz3lxB02uM,???????????? :: ??????????????? ???????? 29 ?.?. 2567,136,3644,,Yes,"lo,th,th"
v9iuhVa0Ktc,Don’t Contemplate Emptiness :: Luangpu Pramote Pamojjo 13 May 2023,3827,1658,,Yes,"en-GB,th"
FrcDwK4IRhU,?????????????? 5 :: ??????????????? ???????? 28 ?.?. 2567,163,3384,,Yes,"lo,th,th"
mWgPCeM_u1k,?????????????????????????????? :: ??????????????? ???????? 28 ?.?. 2567,195,3517,,Yes,"lo,th,th"
4UXh1_QEE7c,???????????????????? :: ??????????????? ?????????? (?????????????) 10 ??.?. 2567,3828,4666,,Yes,"th,th"
kHf9XuHyInc,???????????????????????? :: ??????????????? ???????? 27 ?.?. 2567,134,3473,,Yes,"lo,th,th"
X7fKyYSjlTg,???????????????????? :: ??????????????? ???????? 27 ?.?. 2567,151,3403,,Yes,"th,th"
yMkA7kehld4,????????? :: ??????????????? ???????? 4 ?.?. 2567,3762,44537,,Yes,"th,th"
Be0NZmmgUgc,?????????????????????????? :: ??????????????? ???????? 29 ?.?. 2567,1590,28511,,Yes,"th,th"
okPIQpcCFB0,??????????????????????????????? :: ??????????????? ???????? 20 ??????? 2567 (????????),237,5379,,Yes,"lo,th,th"
j_biQiGv0v0,??????????????????????? :: ??????????????? ???????? 16 ?.?. 2565,113,2940,,Yes,th
t0n2ezk1jNI,Three Rules of Mindfulness Practice :: Luangpu Pramote Pamojjo 24 April 2022,3494,3180,,Yes,"en-GB,th"
XGYZVyCcgqA,??? ????? ????? ?????????????????? :: ?????????? ??????? (?????????) 9 ??.?. 2567,2965,4811,,Yes,"th,th"
jXK5iZmrtR8,?????????????????????????? :: ??????????????? ???????? 21 ?.?. 2567,100,2631,,Yes,"lo,th,th"
uZfXEbRWJQ8,????????? :: ??????????????? ???????? 21 ?.?. 2567,161,3516,,Yes,"lo,th,th"
hnoGKosUpxU,???????????????? :: ??????????????? ???????? 25 ?.?. 2567,141,2066,,Yes,th
xqtFtlr18fY,?????????????????????????????? :: ??????????????? ?????????? (?????????????) 8 ??.?. 2567,3816,9458,,Yes,"th,th"
5XepyuMaoAk,??????????????????????? :: ??????????????? ???????? 20 ?.?. 2567 (????????),132,2769,,Yes,"th,th"
DagYl1jmtDA,???????????????????? :: ??????????????? ???????? 20 ?.?. 2567 (????????),111,1789,,Yes,"th,th"
IIypCz48OJE,???????????????? :: ??????????????? ???????? 20 ?.?. 2567 (????????),167,3350,,Yes,"lo,th,th"
fcqDtB9fq6w,28/07/2024 ???????????????????????????? (Happiness that is free from fabrications),3996,95771,,No,
#NAME?,???????????? :: ??????????????? ???????? 20 ?.?. 2567 (????????),135,2134,,No,
sXGCnA80Fts,?????????????????????????????????? :: ??????????????? ???????? 14 ?.?. 2567,144,3218,,No,
hMvGh5hHm38,?????????????????????? :: ??????????????? ???????? 14 ?.?. 2567,166,3982,,No,
Y7GrdD5j25M,????????????????????????? :: ??????????????? ???????? 22 ?.?. 2567,1502,28185,,No,
gizc9AbaWzE,??????????? :: ??????????????? ???????? 13 ?.?. 2567,136,3827,,No,
5MZryS-JAM4,???????????????????????????????????? :: ??????????????? ???????? 13 ?.?. 2567,58,2860,,No,
xvvb58ZS0pA,????????????????????????????? :: ??????????????? ???????? 20 ?.?. 2567 (????????),2855,39750,,No,
cTFxR1wR-ak,????????????????? :: ??????????????? ????????? 24 ?.?. 2566,77,1922,,No,
BaE8OB5lgCU,?????????????????????? :: ??????????????? ???????? 6 ?.?. 2567,129,2798,,No,
j0OclC9bPiI,??????????????? :: ??????????????? ???????? 15 ??.?. 67,131,2886,,No,
lf6LSM51AU4,How to live and die :: Luangpu Pramote Pamojjo 14 August 2021,3857,1732,,No,
u3Gg5pZEAH0,????????????????????????????????? :: ??????????????? ???????? 7 ?.?. 2567,172,3109,,No,
xQfEewistjg,????????????????????????????????? 8 :: ??????????????? ???????? 14 ?.?. 2567,2460,18302,,No,
WNdx5ViQaXc,?????????????????????????? :: ??????????????? ???????? 7 ?.?. 2567,162,2805,,No,
7S5V79a0cMg,????????????????????????????? :: ??????????????? ???????? 13 ?.?. 2567,4317,39774,,No,
qvAWKEaLGc4,??????????????????????????????????? :: ??????????????? ???????? 6 ?.?. 2567,116,3043,,No,
2GZnY_pirg4,?????????????????? :: ??????????????? ???????? 6 ?.?. 2567,172,4012,,No,
9j5dCwKBc3Q,????????????? :: ????????????? ???????? 31 ?.?. 2567,6295,3530,,No,
6St8rMLiVeQ,To know correctly :: Luangpu Pramote Pamojjo 29 April 2023,3813,3447,,No,
0AKE7h3Nkl8,???????????? :: ??????????????? ???????? 30 ??.?. 2567,169,3523,,No,
D2suAKmCSEQ,??????????????????????? :: ????????????? ???????? 9 ??.?. 2567,5210,5715,,No,
f4Cp2WbAT_0,????????????????????????? :: ??????????????? ???????? 30 ??.?. 2567,148,3305,,No,
HnYLsxOcT2E,????????????????????????? :: ??????????????? ???????? 29 ??.?. 2567,159,3036,,No,
XQJTKG6_XEQ,05/07/2024 ?????????????????? (Keep Practicing to a Great Extent),1798,43384,,No,
Cmgce_BV_lU,????????????????????????? :: ??????????????? ???????? 29 ??.?. 2567,134,2919,,No,
